# Rakudo, measured ONCE PER RELEASE — not once per Raku++ tag.
#
# Rakudo ships monthly, so between two of its releases this column is a
# CONSTANT. Measuring it per Raku++ release drew ordinary run-to-run noise as
# if it were signal: up to 19% on sortby, whose lane is bimodal (~168/198ms)
# on this machine, and 2-10% elsewhere. gen-dashboard now assigns these values
# by DATE, so every point between two Rakudo releases — tagged, untagged
# sitting, or main — carries the same number and the line is a step function.
#
# Measured 2026-08-31, Darwin 24.6, Apple M3, macOS 15.7.4. Each Rakudo built
# from source, native arm64, one toolchain for all three. 20 timed runs per
# kernel after a discarded warm-up, all three eras interleaved inside every
# round; FOUR such passes, and the value below is the minimum across all 80
# runs. Convergence was checked, not assumed: min(pass A,B) against an
# independent min(pass C,D) moved by at most 1.8% and by more than 2% on
# none of the 48 values. A two-pass check had disagreed by up to 10% because
# the passes ran as sequential blocks and tracked the machine's drift; the
# minimum over four interleaved passes removes it.
#
# NOTE MoarVM has no JIT backend on arm64 (it compiles src/jit/stub.o), so
# these are NOT comparable with a rakudo column measured on an x86_64 host.
#
# era      released    kernel      ms
2026.06	2026-06-27	arrayops	182.9
2026.06	2026-06-27	arraypush	259.7
2026.06	2026-06-27	bigint	165.5
2026.06	2026-06-27	fib	308.3
2026.06	2026-06-27	hash	126.1
2026.06	2026-06-27	hashfill	325.8
2026.06	2026-06-27	loopsum	220.0
2026.06	2026-06-27	objects	204.6
2026.06	2026-06-27	rats	233.5
2026.06	2026-06-27	regex	176.5
2026.06	2026-06-27	sortby	167.6
2026.06	2026-06-27	sortnums	201.3
2026.06	2026-06-27	startup	80.7
2026.06	2026-06-27	strcat	95.1
2026.06	2026-06-27	streq	231.8
2026.06	2026-06-27	textsplit	178.0
2026.07	2026-07-25	arrayops	187.1
2026.07	2026-07-25	arraypush	259.4
2026.07	2026-07-25	bigint	166.2
2026.07	2026-07-25	fib	309.0
2026.07	2026-07-25	hash	126.8
2026.07	2026-07-25	hashfill	323.8
2026.07	2026-07-25	loopsum	218.4
2026.07	2026-07-25	objects	204.2
2026.07	2026-07-25	rats	234.5
2026.07	2026-07-25	regex	176.6
2026.07	2026-07-25	sortby	168.8
2026.07	2026-07-25	sortnums	201.6
2026.07	2026-07-25	startup	81.2
2026.07	2026-07-25	strcat	94.8
2026.07	2026-07-25	streq	232.2
2026.07	2026-07-25	textsplit	178.6
2026.08	2026-08-22	arrayops	189.0
2026.08	2026-08-22	arraypush	262.5
2026.08	2026-08-22	bigint	160.9
2026.08	2026-08-22	fib	311.4
2026.08	2026-08-22	hash	123.8
2026.08	2026-08-22	hashfill	284.1
2026.08	2026-08-22	loopsum	230.4
2026.08	2026-08-22	objects	207.2
2026.08	2026-08-22	rats	236.6
2026.08	2026-08-22	regex	182.2
2026.08	2026-08-22	sortby	163.4
2026.08	2026-08-22	sortnums	189.4
